Kill #,Timestamp,Bot,Weapon,TTK,Shots,Hits,Accuracy,Damage Done,Damage Possible,Efficiency,Cheated,OverShots
1,10:21:51.017,AIR1_Short_close,test1,24.067001s,2408,1000,0.415282,1000.000000,2408.000000,0.415282,0,18
2,10:22:19.758,AIR1_Short_far,test1,27.495001s,2751,1000,0.363504,1000.000000,2751.000000,0.363504,0,24
3,10:22:37.472,AIR2_Long3D_mid,test1,16.606001s,1662,1000,0.601685,1000.000000,1662.000000,0.601685,0,20
4,10:22:59.201,AIR2_Short_close,test1,20.547001s,2056,1000,0.486381,1000.000000,2056.000000,0.486381,0,24
5,10:23:24.267,AIR2_Mid_UFO,test1,24.116001s,2413,1000,0.414422,1000.000000,2413.000000,0.414422,0,0

Weapon,Shots,Hits,Damage Done,Damage Possible,,Sens Scale,Horiz Sens,Vert Sens,FOV,Hide Gun,Crosshair,Crosshair Scale,Crosshair Color,ADS Sens,ADS Zoom Scale,Avg Target Scale,Avg Time Dilation
test1,11290,5000,5000.0,11290.0,

Kills:,5
Deaths:,0
Fight Time:,112.831001
Time Remaining:,0.0
Avg TTK:,23.504148
Damage Done:,5000.0
Total Overshots:,86
Damage Taken:,0.0
Hit Count:,5000
Miss Count:,6290
Midairs:,0
Midaired:,0
Directs:,0
Directed:,0
Reloads:,0
Distance Traveled:,0.0
MBS Points:,0.0
Score:,882.468201
Scenario:,Air Pure Medium
Hash:,d852bc1c12b4bfd7cac1752067620ce2
Game Version:,3.9.0.2026-04-27-18-43-07-15870d84c21e
Challenge Start:,10:21:26.739
Pause Count:,0
Pause Duration:,0
Avg Target Scale:,1.0
Avg Time Dilation:,1.0

Input Lag:,0
Max FPS (config):,999.0
Sens Scale:,CSGO
Sens Increment:,0.471429
Horiz Sens:,1.5
Vert Sens:,1.5
DPI:,800
FOV:,90.0
FOVScale:,Counter-Strike
Hide Gun:,false
Crosshair:,ch.png
Crosshair Scale:,1.0
Crosshair Color:,000100FF
Resolution:,1920x1080
Avg FPS:,263.255646
Resolution Scale:,100.0
