Kill #,Timestamp,Bot,Weapon,TTK,Shots,Hits,Accuracy,Damage Done,Damage Possible,Efficiency,Cheated,OverShots
1,17:36:53.678,Aether 1 Bot,Track Master 100,18.755001s,1876,526,0.280384,0.525997,1.876032,0.280377,0,0
2,17:37:14.080,Aether 2 Bot,Track Master 100,20.397001s,1912,598,0.312762,0.597996,1.912033,0.312754,0,0
3,17:37:34.483,Aether 3 Bot,Track Master 100,20.397001s,1934,816,0.421923,0.815993,1.934034,0.421912,0,0

Weapon,Shots,Hits,Damage Done,Damage Possible,,Sens Scale,Horiz Sens,Vert Sens,FOV,Hide Gun,Crosshair,Crosshair Scale,Crosshair Color,ADS Sens,ADS Zoom Scale,Avg Target Scale,Avg Time Dilation
Track Master 100,5741,1940,1.940035,5.740767,

Kills:,3
Deaths:,0
Fight Time:,59.549
Time Remaining:,0.0
Avg TTK:,19.997044
Damage Done:,1.940035
Total Overshots:,0
Damage Taken:,0.0
Hit Count:,1940
Miss Count:,3801
Midairs:,0
Midaired:,0
Directs:,0
Directed:,0
Reloads:,0
Distance Traveled:,0.0
MBS Points:,0.0
Score:,1940.0
Scenario:,VT Aether Intermediate S5
Hash:,c4c11bf8a727b6e6c836138535bd0879
Game Version:,3.7.10.2025-07-31-16-09-12-1e030a50ff30
Challenge Start:,17:36:34.679
Pause Count:,0
Pause Duration:,0
Avg Target Scale:,1.0
Avg Time Dilation:,1.0

Input Lag:,0
Max FPS (config):,999.0
Sens Scale:,CSGO
Sens Increment:,0.534286
Horiz Sens:,1.7
Vert Sens:,1.7
DPI:,800
FOV:,90.0
FOVScale:,Counter-Strike
Hide Gun:,false
Crosshair:,ch.png
Crosshair Scale:,1.0
Crosshair Color:,000100FF
Resolution:,1920x1080
Avg FPS:,276.624237
Resolution Scale:,100.0
