Kill #,Timestamp,Bot,Weapon,TTK,Shots,Hits,Accuracy,Damage Done,Damage Possible,Efficiency,Cheated,OverShots
1,14:52:17.709,Dot Bot,Track Master 100,0.246000s,20,20,1.000000,1.000000,1.000000,1.000000,0,0
2,14:52:18.418,Dot Bot,Track Master 100,0.698000s,42,20,0.476190,1.000000,2.099999,0.476191,0,0
3,14:52:18.910,Dot Bot,Track Master 100,0.480000s,28,20,0.714286,1.000000,1.400000,0.714286,0,0
4,14:52:19.458,Dot Bot,Track Master 100,0.537000s,33,20,0.606061,1.000000,1.649999,0.606061,0,0
5,14:52:19.939,Dot Bot,Track Master 100,0.468000s,28,20,0.714286,1.000000,1.400000,0.714286,0,0
6,14:52:20.616,Dot Bot,Track Master 100,0.662000s,42,20,0.476190,1.000000,2.099999,0.476191,0,0
7,14:52:21.082,Dot Bot,Track Master 100,0.454000s,26,20,0.769231,1.000000,1.300000,0.769231,0,0
8,14:52:21.601,Dot Bot,Track Master 100,0.506000s,30,20,0.666667,1.000000,1.500000,0.666667,0,0
9,14:52:22.099,Dot Bot,Track Master 100,0.487000s,28,20,0.714286,1.000000,1.400000,0.714286,0,0
10,14:52:22.549,Dot Bot,Track Master 100,0.435000s,26,20,0.769231,1.000000,1.300000,0.769231,0,0
11,14:52:23.281,Dot Bot,Track Master 100,0.721000s,46,20,0.434783,1.000000,2.299999,0.434783,0,0
12,14:52:23.706,Dot Bot,Track Master 100,0.412000s,24,20,0.833333,1.000000,1.200000,0.833333,0,0
13,14:52:24.161,Dot Bot,Track Master 100,0.444000s,26,20,0.769231,1.000000,1.300000,0.769231,0,0
14,14:52:24.588,Dot Bot,Track Master 100,0.415000s,26,20,0.769231,1.000000,1.300000,0.769231,0,0
15,14:52:25.280,Dot Bot,Track Master 100,0.680000s,43,20,0.465116,1.000000,2.149999,0.465116,0,0
16,14:52:25.884,Dot Bot,Track Master 100,0.592000s,35,20,0.571429,1.000000,1.749999,0.571429,0,0
17,14:52:26.555,Dot Bot,Track Master 100,0.657000s,41,20,0.487805,1.000000,2.049999,0.487805,0,0
18,14:52:26.993,Dot Bot,Track Master 100,0.426000s,25,20,0.800000,1.000000,1.250000,0.800000,0,0
19,14:52:27.470,Dot Bot,Track Master 100,0.461000s,26,20,0.769231,1.000000,1.300000,0.769231,0,0
20,14:52:27.928,Dot Bot,Track Master 100,0.444000s,26,20,0.769231,1.000000,1.300000,0.769231,0,0
21,14:52:28.389,Dot Bot,Track Master 100,0.448000s,27,20,0.740741,1.000000,1.350000,0.740741,0,0
22,14:52:28.878,Dot Bot,Track Master 100,0.473000s,27,20,0.740741,1.000000,1.350000,0.740741,0,0
23,14:52:29.294,Dot Bot,Track Master 100,0.402000s,24,20,0.833333,1.000000,1.200000,0.833333,0,0
24,14:52:29.753,Dot Bot,Track Master 100,0.444000s,26,20,0.769231,1.000000,1.300000,0.769231,0,0
25,14:52:30.388,Dot Bot,Track Master 100,0.620000s,39,20,0.512821,1.000000,1.949999,0.512821,0,0
26,14:52:31.052,Dot Bot,Track Master 100,0.651000s,42,20,0.476190,1.000000,2.099999,0.476191,0,0
27,14:52:31.639,Dot Bot,Track Master 100,0.572000s,34,20,0.588235,1.000000,1.699999,0.588235,0,0
28,14:52:32.371,Dot Bot,Track Master 100,0.717000s,44,20,0.454545,1.000000,2.199999,0.454546,0,0
29,14:52:32.961,Dot Bot,Track Master 100,0.576000s,35,20,0.571429,1.000000,1.749999,0.571429,0,0
30,14:52:33.414,Dot Bot,Track Master 100,0.441000s,27,20,0.740741,1.000000,1.350000,0.740741,0,0
31,14:52:33.865,Dot Bot,Track Master 100,0.434000s,26,20,0.769231,1.000000,1.300000,0.769231,0,0
32,14:52:34.371,Dot Bot,Track Master 100,0.494000s,28,20,0.714286,1.000000,1.400000,0.714286,0,0
33,14:52:35.094,Dot Bot,Track Master 100,0.711000s,49,20,0.408163,1.000000,2.449999,0.408163,0,0
34,14:52:35.532,Dot Bot,Track Master 100,0.424000s,24,20,0.833333,1.000000,1.200000,0.833333,0,0
35,14:52:36.185,Dot Bot,Track Master 100,0.640000s,41,20,0.487805,1.000000,2.049999,0.487805,0,0
36,14:52:36.624,Dot Bot,Track Master 100,0.424000s,27,20,0.740741,1.000000,1.350000,0.740741,0,0
37,14:52:37.074,Dot Bot,Track Master 100,0.435000s,25,20,0.800000,1.000000,1.250000,0.800000,0,0
38,14:52:37.503,Dot Bot,Track Master 100,0.417000s,25,20,0.800000,1.000000,1.250000,0.800000,0,0
39,14:52:37.963,Dot Bot,Track Master 100,0.446000s,27,20,0.740741,1.000000,1.350000,0.740741,0,0
40,14:52:38.452,Dot Bot,Track Master 100,0.477000s,28,20,0.714286,1.000000,1.400000,0.714286,0,0
41,14:52:38.873,Dot Bot,Track Master 100,0.407000s,24,20,0.833333,1.000000,1.200000,0.833333,0,0
42,14:52:39.475,Dot Bot,Track Master 100,0.591000s,37,20,0.540541,1.000000,1.849999,0.540541,0,0
43,14:52:40.092,Dot Bot,Track Master 100,0.601000s,39,20,0.512821,1.000000,1.949999,0.512821,0,0
44,14:52:40.613,Dot Bot,Track Master 100,0.508000s,27,20,0.740741,1.000000,1.350000,0.740741,0,0
45,14:52:41.248,Dot Bot,Track Master 100,0.624000s,42,20,0.476190,1.000000,2.099999,0.476191,0,0
