Kill #,Timestamp,Bot,Weapon,TTK,Shots,Hits,Accuracy,Damage Done,Damage Possible,Efficiency,Cheated,OverShots
1,14:34:49.642,Drifter Bot,Track Master 100,2.141000s,179,50,0.279330,1.000000,3.581789,0.279190,0,0
2,14:34:51.897,Drifter Bot,Track Master 100,2.244000s,181,51,0.281768,1.020010,3.621809,0.281630,0,0
3,14:34:53.374,Drifter Bot,Track Master 100,1.464000s,127,49,0.385827,0.979990,2.541270,0.385630,0,0
4,14:34:54.913,Drifter Bot,Track Master 100,1.527000s,129,50,0.387597,1.000000,2.581290,0.387403,0,0
5,14:34:56.778,Drifter Bot,Track Master 100,1.858000s,150,50,0.333333,1.000000,3.001499,0.333167,0,0
6,14:34:58.603,Drifter Bot,Track Master 100,1.818000s,160,55,0.343750,1.100050,3.201599,0.343594,0,0
7,14:35:00.009,Drifter Bot,Track Master 100,1.395000s,121,47,0.388430,0.939970,2.421210,0.388223,0,0
8,14:35:01.372,Drifter Bot,Track Master 100,1.353000s,124,48,0.387097,0.959980,2.481240,0.386895,0,0
9,14:35:03.040,Drifter Bot,Track Master 100,1.658000s,148,50,0.337838,1.000000,2.961479,0.337669,0,0
10,14:35:04.680,Drifter Bot,Track Master 100,1.629000s,131,50,0.381679,1.000000,2.621310,0.381489,0,0
11,14:35:06.403,Drifter Bot,Track Master 100,1.711000s,163,50,0.306748,1.000000,3.261629,0.306595,0,0
12,14:35:07.832,Drifter Bot,Track Master 100,1.418000s,127,50,0.393701,1.000000,2.541270,0.393504,0,0
13,14:35:09.590,Drifter Bot,Track Master 100,1.746000s,153,50,0.326797,1.000000,3.061529,0.326634,0,0
14,14:35:11.779,Drifter Bot,Track Master 100,2.179000s,185,51,0.275676,1.020010,3.701849,0.275541,0,0
15,14:35:13.200,Drifter Bot,Track Master 100,1.411000s,127,49,0.385827,0.979990,2.541270,0.385630,0,0
16,14:35:14.739,Drifter Bot,Track Master 100,1.529000s,139,50,0.359712,1.000000,2.781389,0.359533,0,0
17,14:35:17.021,Drifter Bot,Track Master 100,2.274000s,210,50,0.238095,1.000000,4.202099,0.237976,0,0
18,14:35:20.307,Drifter Bot,Track Master 100,3.275000s,299,55,0.183946,1.100050,5.982989,0.183863,0,0
19,14:35:21.976,Drifter Bot,Track Master 100,1.658000s,155,50,0.322581,1.000000,3.101549,0.322419,0,0
20,14:35:24.049,Drifter Bot,Track Master 100,2.062000s,192,55,0.286458,1.100050,3.841919,0.286328,0,0
21,14:35:25.185,Drifter Bot,Track Master 100,1.126000s,99,40,0.404040,0.799900,1.980990,0.403788,0,0
22,14:35:26.447,Drifter Bot,Track Master 100,1.254000s,106,50,0.471698,1.000000,2.121060,0.471462,0,0
23,14:35:27.895,Drifter Bot,Track Master 100,1.440000s,127,50,0.393701,1.000000,2.541270,0.393504,0,0
24,14:35:29.426,Drifter Bot,Track Master 100,1.518000s,137,50,0.364964,1.000000,2.741369,0.364781,0,0
25,14:35:30.789,Drifter Bot,Track Master 100,1.352000s,125,50,0.400000,1.000000,2.501250,0.399800,0,0
26,14:35:32.243,Drifter Bot,Track Master 100,1.440000s,134,50,0.373134,1.000000,2.681340,0.372948,0,0
27,14:35:35.532,Drifter Bot,Track Master 100,3.282000s,292,53,0.181507,1.060030,5.842919,0.181421,0,0
28,14:35:37.416,Drifter Bot,Track Master 100,1.871000s,177,47,0.265537,0.939970,3.541769,0.265396,0,0
29,14:35:38.808,Drifter Bot,Track Master 100,1.384000s,127,50,0.393701,1.000000,2.541270,0.393504,0,0
30,14:35:41.149,Drifter Bot,Track Master 100,2.332000s,218,50,0.229358,1.000000,4.362179,0.229243,0,0
31,14:35:42.912,Drifter Bot,Track Master 100,1.751000s,164,50,0.304878,1.000000,3.281639,0.304726,0,0
32,14:35:44.463,Drifter Bot,Track Master 100,1.540000s,136,50,0.367647,1.000000,2.721359,0.367463,0,0

Weapon,Shots,Hits,Damage Done,Damage Possible,,Sens Scale,Horiz Sens,Vert Sens,FOV,Hide Gun,Crosshair,Crosshair Scale,Crosshair Color,ADS Sens,ADS Zoom Scale,Avg Target Scale,Avg Time Dilation
Track Master 100,5238,1628,32.560333,104.81929,

Kills:,32
Deaths:,0
Fight Time:,56.640999
Time Remaining:,0.0
Avg TTK:,1.874519
Damage Done:,32.560333
Total Overshots:,0
Damage Taken:,0.0
Hit Count:,1628
Miss Count:,3610
Midairs:,0
Midaired:,0
Directs:,0
Directed:,0
Reloads:,0
Distance Traveled:,0.0
MBS Points:,0.0
Score:,325.600006
Scenario:,VT DriftTS Intermediate S5
Hash:,ff777f42a21d6ddcf8791caf2821a2bd
Game Version:,3.7.10.2025-07-31-16-09-12-1e030a50ff30
Challenge Start:,14:34:46.627
Pause Count:,0
Pause Duration:,0
Avg Target Scale:,1.0
Avg Time Dilation:,1.0

Input Lag:,0
Max FPS (config):,999.0
Sens Scale:,CSGO
Sens Increment:,0.471429
Horiz Sens:,1.5
Vert Sens:,1.5
DPI:,800
FOV:,90.0
FOVScale:,Counter-Strike
Hide Gun:,false
Crosshair:,ch.png
Crosshair Scale:,1.0
Crosshair Color:,000100FF
Resolution:,1920x1080
Avg FPS:,274.070312
Resolution Scale:,100.0
