Kill #,Timestamp,Bot,Weapon,TTK,Shots,Hits,Accuracy,Damage Done,Damage Possible,Efficiency,Cheated,OverShots
1,14:38:10.668,Drifter Bot,Track Master 100,1.458000s,147,50,0.340136,1.000000,2.941469,0.339966,0,0
2,14:38:11.855,Drifter Bot,Track Master 100,1.179000s,107,50,0.467290,1.000000,2.141070,0.467056,0,0
3,14:38:13.876,Drifter Bot,Track Master 100,2.009000s,185,50,0.270270,1.000000,3.701849,0.270135,0,0
4,14:38:15.604,Drifter Bot,Track Master 100,1.720000s,157,50,0.318471,1.000000,3.141569,0.318312,0,0
5,14:38:17.418,Drifter Bot,Track Master 100,1.804000s,162,50,0.308642,1.000000,3.241619,0.308488,0,0
6,14:38:19.834,Drifter Bot,Track Master 100,2.410000s,226,50,0.221239,1.000000,4.522259,0.221128,0,0
7,14:38:21.229,Drifter Bot,Track Master 100,1.387000s,122,50,0.409836,1.000000,2.441220,0.409631,0,0
8,14:38:23.835,Drifter Bot,Track Master 100,2.598000s,246,63,0.256098,1.260130,4.922459,0.255996,0,0
9,14:38:26.411,Drifter Bot,Track Master 100,2.566000s,246,50,0.203252,1.000000,4.922459,0.203150,0,0
10,14:38:28.325,Drifter Bot,Track Master 100,1.903000s,182,50,0.274725,1.000000,3.641819,0.274588,0,0
11,14:38:29.804,Drifter Bot,Track Master 100,1.467000s,134,37,0.276119,0.739870,2.681340,0.275933,0,0
12,14:38:31.726,Drifter Bot,Track Master 100,1.912000s,177,50,0.282486,1.000000,3.541769,0.282345,0,0
13,14:38:32.972,Drifter Bot,Track Master 100,1.237000s,112,50,0.446429,1.000000,2.241120,0.446206,0,0
14,14:38:34.046,Drifter Bot,Track Master 100,1.063000s,91,50,0.549451,1.000000,1.820910,0.549176,0,0
15,14:38:36.560,Drifter Bot,Track Master 100,2.504000s,239,50,0.209205,1.000000,4.782389,0.209101,0,0
16,14:38:39.047,Drifter Bot,Track Master 100,2.477000s,236,50,0.211864,1.000000,4.722359,0.211759,0,0
17,14:38:40.882,Drifter Bot,Track Master 100,1.824000s,171,50,0.292398,1.000000,3.421709,0.292252,0,0
18,14:38:42.395,Drifter Bot,Track Master 100,1.502000s,137,50,0.364964,1.000000,2.741369,0.364781,0,0
19,14:38:44.462,Drifter Bot,Track Master 100,2.057000s,193,50,0.259067,1.000000,3.861929,0.258938,0,0
20,14:38:46.423,Drifter Bot,Track Master 100,1.953000s,173,50,0.289017,1.000000,3.461729,0.288873,0,0
21,14:38:47.955,Drifter Bot,Track Master 100,1.520000s,139,50,0.359712,1.000000,2.781389,0.359533,0,0
22,14:38:49.153,Drifter Bot,Track Master 100,1.187000s,111,50,0.450450,1.000000,2.221110,0.450225,0,0
23,14:38:50.738,Drifter Bot,Track Master 100,1.574000s,144,50,0.347222,1.000000,2.881439,0.347049,0,0
24,14:38:51.976,Drifter Bot,Track Master 100,1.228000s,105,50,0.476190,1.000000,2.101050,0.475953,0,0
25,14:38:53.766,Drifter Bot,Track Master 100,1.781000s,164,50,0.304878,1.000000,3.281639,0.304726,0,0
26,14:38:55.402,Drifter Bot,Track Master 100,1.625000s,146,51,0.349315,1.020010,2.921459,0.349144,0,0
27,14:38:56.954,Drifter Bot,Track Master 100,1.541000s,147,49,0.333333,0.979990,2.941469,0.333163,0,0
28,14:38:58.248,Drifter Bot,Track Master 100,1.286000s,115,50,0.434783,1.000000,2.301150,0.434565,0,0
29,14:38:59.594,Drifter Bot,Track Master 100,1.335000s,119,50,0.420168,1.000000,2.381190,0.419958,0,0
30,14:39:01.304,Drifter Bot,Track Master 100,1.699000s,158,50,0.316456,1.000000,3.161579,0.316298,0,0
31,14:39:02.991,Drifter Bot,Track Master 100,1.679000s,152,50,0.328947,1.000000,3.041519,0.328783,0,0
32,14:39:04.850,Drifter Bot,Track Master 100,1.847000s,172,50,0.290698,1.000000,3.441719,0.290552,0,0
33,14:39:06.168,Drifter Bot,Track Master 100,1.306000s,119,50,0.420168,1.000000,2.381190,0.419958,0,0
34,14:39:07.714,Drifter Bot,Track Master 100,1.532000s,138,50,0.362319,1.000000,2.761379,0.362138,0,0

Weapon,Shots,Hits,Damage Done,Damage Possible,,Sens Scale,Horiz Sens,Vert Sens,FOV,Hide Gun,Crosshair,Crosshair Scale,Crosshair Color,ADS Sens,ADS Zoom Scale,Avg Target Scale,Avg Time Dilation
Track Master 100,5490,1732,34.640564,109.862289,

Kills:,34
Deaths:,0
Fight Time:,58.169998
Time Remaining:,0.0
Avg TTK:,1.764199
Damage Done:,34.640564
Total Overshots:,0
Damage Taken:,0.0
Hit Count:,1732
Miss Count:,3758
Midairs:,0
Midaired:,0
Directs:,0
Directed:,0
Reloads:,0
Distance Traveled:,0.0
MBS Points:,0.0
Score:,346.399994
Scenario:,VT DriftTS Intermediate S5
Hash:,ff777f42a21d6ddcf8791caf2821a2bd
Game Version:,3.7.10.2025-07-31-16-09-12-1e030a50ff30
Challenge Start:,14:38:09.077
Pause Count:,0
Pause Duration:,0
Avg Target Scale:,1.0
Avg Time Dilation:,1.0

Input Lag:,0
Max FPS (config):,999.0
Sens Scale:,CSGO
Sens Increment:,0.471429
Horiz Sens:,1.5
Vert Sens:,1.5
DPI:,800
FOV:,90.0
FOVScale:,Counter-Strike
Hide Gun:,false
Crosshair:,ch.png
Crosshair Scale:,1.0
Crosshair Color:,000100FF
Resolution:,1920x1080
Avg FPS:,280.71405
Resolution Scale:,100.0
