Kill #,Timestamp,Bot,Weapon,TTK,Shots,Hits,Accuracy,Damage Done,Damage Possible,Efficiency,Cheated,OverShots
1,14:40:12.461,Drifter Bot,Track Master 100,1.825000s,184,50,0.271739,1.000000,3.681839,0.271603,0,0
2,14:40:14.032,Drifter Bot,Track Master 100,1.562000s,133,50,0.375940,1.000000,2.661330,0.375752,0,0
3,14:40:14.941,Drifter Bot,Track Master 100,0.898000s,80,50,0.625000,1.000000,1.600800,0.624688,0,0
4,14:40:16.535,Drifter Bot,Track Master 100,1.583000s,144,50,0.347222,1.000000,2.881439,0.347049,0,0
5,14:40:18.149,Drifter Bot,Track Master 100,1.607000s,138,50,0.362319,1.000000,2.761379,0.362138,0,0
6,14:40:19.793,Drifter Bot,Track Master 100,1.633000s,149,50,0.335570,1.000000,2.981489,0.335403,0,0
7,14:40:21.507,Drifter Bot,Track Master 100,1.703000s,148,50,0.337838,1.000000,2.961479,0.337669,0,0
8,14:40:23.314,Drifter Bot,Track Master 100,1.800000s,168,50,0.297619,1.000000,3.361679,0.297470,0,0
9,14:40:24.511,Drifter Bot,Track Master 100,1.184000s,105,50,0.476190,1.000000,2.101050,0.475953,0,0
10,14:40:26.170,Drifter Bot,Track Master 100,1.649000s,150,50,0.333333,1.000000,3.001499,0.333167,0,0
11,14:40:28.020,Drifter Bot,Track Master 100,1.841000s,164,50,0.304878,1.000000,3.281639,0.304726,0,0
12,14:40:29.298,Drifter Bot,Track Master 100,1.266000s,117,50,0.427350,1.000000,2.341170,0.427137,0,0
13,14:40:31.547,Drifter Bot,Track Master 100,2.239000s,209,50,0.239234,1.000000,4.182089,0.239115,0,0
14,14:40:33.332,Drifter Bot,Track Master 100,1.778000s,164,50,0.304878,1.000000,3.281639,0.304726,0,0
15,14:40:35.023,Drifter Bot,Track Master 100,1.680000s,150,50,0.333333,1.000000,3.001499,0.333167,0,0
16,14:40:38.163,Drifter Bot,Track Master 100,3.129000s,298,53,0.177852,1.060030,5.962979,0.177769,0,0
17,14:40:39.868,Drifter Bot,Track Master 100,1.696000s,149,50,0.335570,1.000000,2.981489,0.335403,0,0
18,14:40:41.602,Drifter Bot,Track Master 100,1.724000s,157,50,0.318471,1.000000,3.141569,0.318312,0,0
19,14:40:45.927,Drifter Bot,Track Master 100,4.316000s,408,96,0.235294,1.920460,8.164079,0.235233,0,0
20,14:40:45.977,Drifter Bot,Track Master 100,0.039000s,5,1,0.200000,0.019510,0.100050,0.195005,0,0
21,14:40:48.529,Drifter Bot,Track Master 100,2.541000s,234,50,0.213675,1.000000,4.682339,0.213568,0,0
22,14:40:50.107,Drifter Bot,Track Master 100,1.568000s,148,50,0.337838,1.000000,2.961479,0.337669,0,0
23,14:40:52.319,Drifter Bot,Track Master 100,2.202000s,206,50,0.242718,1.000000,4.122059,0.242597,0,0
24,14:40:53.676,Drifter Bot,Track Master 100,1.345000s,111,50,0.450450,1.000000,2.221110,0.450225,0,0
25,14:40:55.214,Drifter Bot,Track Master 100,1.526000s,139,50,0.359712,1.000000,2.781389,0.359533,0,0
26,14:40:56.580,Drifter Bot,Track Master 100,1.355000s,125,50,0.400000,1.000000,2.501250,0.399800,0,0
27,14:40:57.778,Drifter Bot,Track Master 100,1.190000s,106,50,0.471698,1.000000,2.121060,0.471462,0,0
28,14:41:00.088,Drifter Bot,Track Master 100,2.299000s,222,50,0.225225,1.000000,4.442219,0.225113,0,0
29,14:41:02.898,Drifter Bot,Track Master 100,2.803000s,266,50,0.187970,1.000000,5.322659,0.187876,0,0
30,14:41:05.066,Drifter Bot,Track Master 100,2.157000s,203,50,0.246305,1.000000,4.062029,0.246182,0,0
31,14:41:06.278,Drifter Bot,Track Master 100,1.200000s,106,50,0.471698,1.000000,2.121060,0.471462,0,0
32,14:41:07.717,Drifter Bot,Track Master 100,1.431000s,131,50,0.381679,1.000000,2.621310,0.381489,0,0
33,14:41:09.455,Drifter Bot,Track Master 100,1.730000s,157,50,0.318471,1.000000,3.141569,0.318312,0,0

Weapon,Shots,Hits,Damage Done,Damage Possible,,Sens Scale,Horiz Sens,Vert Sens,FOV,Hide Gun,Crosshair,Crosshair Scale,Crosshair Color,ADS Sens,ADS Zoom Scale,Avg Target Scale,Avg Time Dilation
Track Master 100,5431,1650,33.000092,108.681587,

Kills:,33
Deaths:,0
Fight Time:,58.499001
Time Remaining:,0.0
Avg TTK:,1.817668
Damage Done:,33.000092
Total Overshots:,0
Damage Taken:,0.0
Hit Count:,1650
Miss Count:,3781
Midairs:,0
Midaired:,0
Directs:,0
Directed:,0
Reloads:,0
Distance Traveled:,0.0
MBS Points:,0.0
Score:,330.0
Scenario:,VT DriftTS Intermediate S5
Hash:,ff777f42a21d6ddcf8791caf2821a2bd
Game Version:,3.7.10.2025-07-31-16-09-12-1e030a50ff30
Challenge Start:,14:40:10.175
Pause Count:,0
Pause Duration:,0
Avg Target Scale:,1.0
Avg Time Dilation:,1.0

Input Lag:,0
Max FPS (config):,999.0
Sens Scale:,CSGO
Sens Increment:,0.471429
Horiz Sens:,1.5
Vert Sens:,1.5
DPI:,800
FOV:,90.0
FOVScale:,Counter-Strike
Hide Gun:,false
Crosshair:,ch.png
Crosshair Scale:,1.0
Crosshair Color:,000100FF
Resolution:,1920x1080
Avg FPS:,284.747192
Resolution Scale:,100.0
