Kill #,Timestamp,Bot,Weapon,TTK,Shots,Hits,Accuracy,Damage Done,Damage Possible,Efficiency,Cheated,OverShots
1,14:41:26.191,Drifter Bot,Track Master 100,0.918000s,93,50,0.537634,1.000000,1.860930,0.537366,0,0
2,14:41:27.857,Drifter Bot,Track Master 100,1.658000s,147,50,0.340136,1.000000,2.941469,0.339966,0,0
3,14:41:30.658,Drifter Bot,Track Master 100,2.794000s,260,50,0.192308,1.000000,5.202599,0.192212,0,0
4,14:41:32.350,Drifter Bot,Track Master 100,1.680000s,155,50,0.322581,1.000000,3.101549,0.322419,0,0
5,14:41:34.404,Drifter Bot,Track Master 100,2.042000s,191,50,0.261780,1.000000,3.821909,0.261649,0,0
6,14:41:36.063,Drifter Bot,Track Master 100,1.649000s,146,50,0.342466,1.000000,2.921459,0.342295,0,0
7,14:41:37.436,Drifter Bot,Track Master 100,1.363000s,122,50,0.409836,1.000000,2.441220,0.409631,0,0
8,14:41:38.679,Drifter Bot,Track Master 100,1.232000s,110,50,0.454545,1.000000,2.201100,0.454318,0,0
9,14:41:40.369,Drifter Bot,Track Master 100,1.678000s,153,50,0.326797,1.000000,3.061529,0.326634,0,0
10,14:41:42.016,Drifter Bot,Track Master 100,1.637000s,152,50,0.328947,1.000000,3.041519,0.328783,0,0
11,14:41:44.649,Drifter Bot,Track Master 100,2.624000s,240,50,0.208333,1.000000,4.802399,0.208229,0,0
12,14:41:47.226,Drifter Bot,Track Master 100,2.566000s,240,50,0.208333,1.000000,4.802399,0.208229,0,0
13,14:41:49.142,Drifter Bot,Track Master 100,1.906000s,174,50,0.287356,1.000000,3.481739,0.287213,0,0
14,14:41:51.755,Drifter Bot,Track Master 100,2.604000s,247,88,0.356275,1.760380,4.942469,0.356174,0,0
15,14:41:52.398,Drifter Bot,Track Master 100,0.632000s,54,12,0.222222,0.239620,1.080540,0.221760,0,0
16,14:41:54.301,Drifter Bot,Track Master 100,1.892000s,178,50,0.280899,1.000000,3.561779,0.280759,0,0
17,14:41:56.061,Drifter Bot,Track Master 100,1.753000s,161,50,0.310559,1.000000,3.221609,0.310404,0,0
18,14:41:59.071,Drifter Bot,Track Master 100,2.999000s,273,63,0.230769,1.260130,5.462729,0.230678,0,0
19,14:42:00.040,Drifter Bot,Track Master 100,0.962000s,97,37,0.381443,0.739870,1.940970,0.381186,0,0
20,14:42:02.099,Drifter Bot,Track Master 100,2.051000s,194,50,0.257732,1.000000,3.881939,0.257603,0,0
21,14:42:04.024,Drifter Bot,Track Master 100,1.914000s,178,50,0.280899,1.000000,3.561779,0.280759,0,0
22,14:42:06.002,Drifter Bot,Track Master 100,1.968000s,183,50,0.273224,1.000000,3.661829,0.273088,0,0
23,14:42:07.884,Drifter Bot,Track Master 100,1.872000s,172,57,0.331395,1.140070,3.441719,0.331250,0,0
24,14:42:09.114,Drifter Bot,Track Master 100,1.220000s,111,43,0.387387,0.859930,2.221110,0.387162,0,0
25,14:42:11.074,Drifter Bot,Track Master 100,1.951000s,185,50,0.270270,1.000000,3.701849,0.270135,0,0
26,14:42:12.781,Drifter Bot,Track Master 100,1.695000s,157,50,0.318471,1.000000,3.141569,0.318312,0,0
27,14:42:14.376,Drifter Bot,Track Master 100,1.588000s,146,50,0.342466,1.000000,2.921459,0.342295,0,0
28,14:42:15.994,Drifter Bot,Track Master 100,1.607000s,148,50,0.337838,1.000000,2.961479,0.337669,0,0
29,14:42:18.573,Drifter Bot,Track Master 100,2.567000s,241,50,0.207469,1.000000,4.822409,0.207365,0,0
30,14:42:20.231,Drifter Bot,Track Master 100,1.650000s,147,50,0.340136,1.000000,2.941469,0.339966,0,0
31,14:42:22.841,Drifter Bot,Track Master 100,2.599000s,249,50,0.200803,1.000000,4.982489,0.200703,0,0

Weapon,Shots,Hits,Damage Done,Damage Possible,,Sens Scale,Horiz Sens,Vert Sens,FOV,Hide Gun,Crosshair,Crosshair Scale,Crosshair Color,ADS Sens,ADS Zoom Scale,Avg Target Scale,Avg Time Dilation
Track Master 100,5494,1576,31.52026,109.942337,

Kills:,31
Deaths:,0
Fight Time:,57.271
Time Remaining:,0.0
Avg TTK:,1.934921
Damage Done:,31.52026
Total Overshots:,0
Damage Taken:,0.0
Hit Count:,1576
Miss Count:,3918
Midairs:,0
Midaired:,0
Directs:,0
Directed:,0
Reloads:,0
Distance Traveled:,0.0
MBS Points:,0.0
Score:,315.200012
Scenario:,VT DriftTS Intermediate S5
Hash:,ff777f42a21d6ddcf8791caf2821a2bd
Game Version:,3.7.10.2025-07-31-16-09-12-1e030a50ff30
Challenge Start:,14:41:24.936
Pause Count:,0
Pause Duration:,0
Avg Target Scale:,1.0
Avg Time Dilation:,1.0

Input Lag:,0
Max FPS (config):,999.0
Sens Scale:,CSGO
Sens Increment:,0.471429
Horiz Sens:,1.5
Vert Sens:,1.5
DPI:,800
FOV:,90.0
FOVScale:,Counter-Strike
Hide Gun:,false
Crosshair:,ch.png
Crosshair Scale:,1.0
Crosshair Color:,000100FF
Resolution:,1920x1080
Avg FPS:,286.249939
Resolution Scale:,100.0
