Kill #,Timestamp,Bot,Weapon,TTK,Shots,Hits,Accuracy,Damage Done,Damage Possible,Efficiency,Cheated,OverShots
1,14:43:12.911,Drifter Bot,Track Master 100,1.168000s,118,50,0.423729,1.000000,2.361180,0.423517,0,0
2,14:43:14.084,Drifter Bot,Track Master 100,1.162000s,98,50,0.510204,1.000000,1.960980,0.509949,0,0
3,14:43:15.351,Drifter Bot,Track Master 100,1.256000s,110,50,0.454545,1.000000,2.201100,0.454318,0,0
4,14:43:16.647,Drifter Bot,Track Master 100,1.287000s,111,50,0.450450,1.000000,2.221110,0.450225,0,0
5,14:43:18.244,Drifter Bot,Track Master 100,1.588000s,144,53,0.368056,1.060030,2.881439,0.367882,0,0
6,14:43:20.601,Drifter Bot,Track Master 100,2.346000s,226,47,0.207965,0.939970,4.522259,0.207854,0,0
7,14:43:22.192,Drifter Bot,Track Master 100,1.580000s,140,50,0.357143,1.000000,2.801399,0.356964,0,0
8,14:43:23.787,Drifter Bot,Track Master 100,1.585000s,149,50,0.335570,1.000000,2.981489,0.335403,0,0
9,14:43:25.377,Drifter Bot,Track Master 100,1.584000s,144,50,0.347222,1.000000,2.881439,0.347049,0,0
10,14:43:26.557,Drifter Bot,Track Master 100,1.169000s,107,50,0.467290,1.000000,2.141070,0.467056,0,0
11,14:43:28.265,Drifter Bot,Track Master 100,1.697000s,159,50,0.314465,1.000000,3.181589,0.314308,0,0
12,14:43:29.639,Drifter Bot,Track Master 100,1.364000s,126,50,0.396825,1.000000,2.521260,0.396627,0,0
13,14:43:31.639,Drifter Bot,Track Master 100,1.989000s,187,50,0.267380,1.000000,3.741869,0.267246,0,0
14,14:43:33.090,Drifter Bot,Track Master 100,1.440000s,136,50,0.367647,1.000000,2.721359,0.367463,0,0
15,14:43:35.277,Drifter Bot,Track Master 100,2.179000s,204,50,0.245098,1.000000,4.082039,0.244976,0,0
16,14:43:37.092,Drifter Bot,Track Master 100,1.809000s,168,50,0.297619,1.000000,3.361679,0.297470,0,0
17,14:43:40.081,Drifter Bot,Track Master 100,2.980000s,275,65,0.236364,1.300150,5.502749,0.236273,0,0
18,14:43:41.669,Drifter Bot,Track Master 100,1.578000s,147,35,0.238095,0.699850,2.941469,0.237925,0,0
19,14:43:42.873,Drifter Bot,Track Master 100,1.193000s,105,50,0.476190,1.000000,2.101050,0.475953,0,0
20,14:43:44.636,Drifter Bot,Track Master 100,1.754000s,166,50,0.301205,1.000000,3.321659,0.301054,0,0
21,14:43:46.034,Drifter Bot,Track Master 100,1.387000s,123,50,0.406504,1.000000,2.461230,0.406301,0,0
22,14:43:48.227,Drifter Bot,Track Master 100,2.179000s,202,50,0.247525,1.000000,4.042019,0.247401,0,0
23,14:43:49.660,Drifter Bot,Track Master 100,1.425000s,134,51,0.380597,1.020010,2.681340,0.380411,0,0
24,14:43:51.599,Drifter Bot,Track Master 100,1.928000s,184,49,0.266304,0.979990,3.681839,0.266169,0,0
25,14:43:53.721,Drifter Bot,Track Master 100,2.111000s,194,54,0.278351,1.080040,3.881939,0.278222,0,0
26,14:43:55.228,Drifter Bot,Track Master 100,1.500000s,136,46,0.338235,0.919960,2.721359,0.338052,0,0
27,14:43:56.604,Drifter Bot,Track Master 100,1.366000s,128,50,0.390625,1.000000,2.561280,0.390430,0,0
28,14:43:58.106,Drifter Bot,Track Master 100,1.490000s,138,50,0.362319,1.000000,2.761379,0.362138,0,0
29,14:43:59.821,Drifter Bot,Track Master 100,1.703000s,152,50,0.328947,1.000000,3.041519,0.328783,0,0
30,14:44:01.866,Drifter Bot,Track Master 100,2.033000s,186,50,0.268817,1.000000,3.721859,0.268683,0,0
31,14:44:03.619,Drifter Bot,Track Master 100,1.740000s,147,50,0.340136,1.000000,2.941469,0.339966,0,0
32,14:44:04.992,Drifter Bot,Track Master 100,1.363000s,124,50,0.403226,1.000000,2.481240,0.403024,0,0
33,14:44:06.874,Drifter Bot,Track Master 100,1.874000s,169,50,0.295858,1.000000,3.381689,0.295710,0,0
34,14:44:09.594,Drifter Bot,Track Master 100,2.709000s,253,83,0.328063,1.660330,5.062529,0.327965,0,0
35,14:44:10.463,Drifter Bot,Track Master 100,0.861000s,76,17,0.223684,0.339670,1.520760,0.223356,0,0

Weapon,Shots,Hits,Damage Done,Damage Possible,,Sens Scale,Horiz Sens,Vert Sens,FOV,Hide Gun,Crosshair,Crosshair Scale,Crosshair Color,ADS Sens,ADS Zoom Scale,Avg Target Scale,Avg Time Dilation
Track Master 100,5423,1757,35.140358,108.521492,

Kills:,35
Deaths:,0
Fight Time:,58.376999
Time Remaining:,0.0
Avg TTK:,1.713759
Damage Done:,35.140358
Total Overshots:,0
Damage Taken:,0.0
Hit Count:,1757
Miss Count:,3666
Midairs:,0
Midaired:,0
Directs:,0
Directed:,0
Reloads:,0
Distance Traveled:,0.0
MBS Points:,0.0
Score:,351.399994
Scenario:,VT DriftTS Intermediate S5
Hash:,ff777f42a21d6ddcf8791caf2821a2bd
Game Version:,3.7.10.2025-07-31-16-09-12-1e030a50ff30
Challenge Start:,14:43:11.253
Pause Count:,0
Pause Duration:,0
Avg Target Scale:,1.0
Avg Time Dilation:,1.0

Input Lag:,0
Max FPS (config):,999.0
Sens Scale:,CSGO
Sens Increment:,0.471429
Horiz Sens:,1.5
Vert Sens:,1.5
DPI:,800
FOV:,90.0
FOVScale:,Counter-Strike
Hide Gun:,false
Crosshair:,ch.png
Crosshair Scale:,1.0
Crosshair Color:,000100FF
Resolution:,1920x1080
Avg FPS:,284.904236
Resolution Scale:,100.0
