Kill #,Timestamp,Bot,Weapon,TTK,Shots,Hits,Accuracy,Damage Done,Damage Possible,Efficiency,Cheated,OverShots
1,14:23:10.006,Ground 1 Bot,Track Master 100,18.878000s,1889,925,0.489677,0.924992,1.889032,0.489664,0,0
2,14:23:30.407,Ground 2 Bot,Track Master 100,20.392000s,1898,882,0.464700,0.881992,1.898033,0.464688,0,0
3,14:23:50.811,Ground 3 Bot,Track Master 100,20.395000s,1921,869,0.452369,0.868992,1.921034,0.452357,0,0

Weapon,Shots,Hits,Damage Done,Damage Possible,,Sens Scale,Horiz Sens,Vert Sens,FOV,Hide Gun,Crosshair,Crosshair Scale,Crosshair Color,ADS Sens,ADS Zoom Scale,Avg Target Scale,Avg Time Dilation
Track Master 100,5728,2676,2.675988,5.727767,

Kills:,3
Deaths:,0
Fight Time:,59.665001
Time Remaining:,0.0
Avg TTK:,19.996717
Damage Done:,2.675988
Total Overshots:,0
Damage Taken:,0.0
Hit Count:,2676
Miss Count:,3052
Midairs:,0
Midaired:,0
Directs:,0
Directed:,0
Reloads:,0
Distance Traveled:,0.0
MBS Points:,0.0
Score:,2676.0
Scenario:,VT Ground Intermediate S5
Hash:,489b27e681807e0212eef50241bb0769
Game Version:,3.7.10.2025-07-31-16-09-12-1e030a50ff30
Challenge Start:,14:22:51.010
Pause Count:,0
Pause Duration:,0
Avg Target Scale:,1.0
Avg Time Dilation:,1.0

Input Lag:,0
Max FPS (config):,999.0
Sens Scale:,CSGO
Sens Increment:,0.471429
Horiz Sens:,1.5
Vert Sens:,1.5
DPI:,800
FOV:,90.0
FOVScale:,Counter-Strike
Hide Gun:,false
Crosshair:,ch.png
Crosshair Scale:,1.0
Crosshair Color:,000100FF
Resolution:,1920x1080
Avg FPS:,290.297668
Resolution Scale:,100.0
