Kill #,Timestamp,Bot,Weapon,TTK,Shots,Hits,Accuracy,Damage Done,Damage Possible,Efficiency,Cheated,OverShots
1,17:51:33.538,Popcorn 3 Bot,BB Gun,0.000000s,1,1,1.000000,1.000000,1.000000,1.000000,0,0
2,17:51:34.312,Popcorn 1 Bot,BB Gun,0.000000s,1,1,1.000000,1.000000,1.000000,1.000000,0,0
3,17:51:34.850,Popcorn 2 Bot,BB Gun,0.000000s,1,1,1.000000,1.000000,1.000000,1.000000,0,0
4,17:51:35.555,Popcorn 4 Bot,BB Gun,0.000000s,1,1,1.000000,1.000000,1.000000,1.000000,0,0
5,17:51:36.080,Popcorn 4 Bot,BB Gun,0.000000s,1,1,1.000000,1.000000,1.000000,1.000000,0,0
6,17:51:37.549,Popcorn 3 Bot,BB Gun,0.751000s,2,1,0.500000,1.000000,2.000000,0.500000,0,0
7,17:51:39.539,Popcorn 3 Bot,BB Gun,1.492000s,2,1,0.500000,1.000000,2.000000,0.500000,0,0
8,17:51:40.241,Popcorn 1 Bot,BB Gun,0.000000s,1,1,1.000000,1.000000,1.000000,1.000000,0,0
9,17:51:41.558,Popcorn 4 Bot,BB Gun,0.826000s,2,1,0.500000,1.000000,2.000000,0.500000,0,0
10,17:51:42.200,Popcorn 1 Bot,BB Gun,0.000000s,1,1,1.000000,1.000000,1.000000,1.000000,0,0
11,17:51:42.759,Popcorn 2 Bot,BB Gun,0.000000s,1,1,1.000000,1.000000,1.000000,1.000000,0,0
12,17:51:43.886,Popcorn 1 Bot,BB Gun,0.549000s,2,1,0.500000,1.000000,2.000000,0.500000,0,0
13,17:51:47.052,Popcorn 2 Bot,BB Gun,2.206000s,4,1,0.250000,1.000000,4.000000,0.250000,0,0
14,17:51:47.934,Popcorn 4 Bot,BB Gun,0.000000s,1,1,1.000000,1.000000,1.000000,1.000000,0,0
15,17:51:48.400,Popcorn 2 Bot,BB Gun,0.000000s,1,1,1.000000,1.000000,1.000000,1.000000,0,0
16,17:51:49.043,Popcorn 2 Bot,BB Gun,0.000000s,1,1,1.000000,1.000000,1.000000,1.000000,0,0
17,17:51:49.576,Popcorn 4 Bot,BB Gun,0.000000s,1,1,1.000000,1.000000,1.000000,1.000000,0,0
18,17:51:50.257,Popcorn 2 Bot,BB Gun,0.000000s,1,1,1.000000,1.000000,1.000000,1.000000,0,0
19,17:51:50.959,Popcorn 1 Bot,BB Gun,0.000000s,1,1,1.000000,1.000000,1.000000,1.000000,0,0
20,17:51:51.517,Popcorn 1 Bot,BB Gun,0.000000s,1,1,1.000000,1.000000,1.000000,1.000000,0,0
21,17:51:52.307,Popcorn 3 Bot,BB Gun,0.000000s,1,1,1.000000,1.000000,1.000000,1.000000,0,0
22,17:51:52.915,Popcorn 3 Bot,BB Gun,0.000000s,1,1,1.000000,1.000000,1.000000,1.000000,0,0
23,17:51:53.674,Popcorn 4 Bot,BB Gun,0.000000s,1,1,1.000000,1.000000,1.000000,1.000000,0,0
24,17:51:54.212,Popcorn 4 Bot,BB Gun,0.000000s,1,1,1.000000,1.000000,1.000000,1.000000,0,0
25,17:51:54.757,Popcorn 1 Bot,BB Gun,0.000000s,1,1,1.000000,1.000000,1.000000,1.000000,0,0
26,17:51:56.157,Popcorn 3 Bot,BB Gun,0.583000s,2,1,0.500000,1.000000,2.000000,0.500000,0,0
27,17:51:56.643,Popcorn 2 Bot,BB Gun,0.000000s,1,1,1.000000,1.000000,1.000000,1.000000,0,0
28,17:51:57.172,Popcorn 1 Bot,BB Gun,0.000000s,1,1,1.000000,1.000000,1.000000,1.000000,0,0
29,17:51:57.665,Popcorn 2 Bot,BB Gun,0.000000s,1,1,1.000000,1.000000,1.000000,1.000000,0,0
30,17:51:58.149,Popcorn 4 Bot,BB Gun,0.000000s,1,1,1.000000,1.000000,1.000000,1.000000,0,0
31,17:51:58.710,Popcorn 4 Bot,BB Gun,0.000000s,1,1,1.000000,1.000000,1.000000,1.000000,0,0
32,17:51:59.306,Popcorn 4 Bot,BB Gun,0.000000s,1,1,1.000000,1.000000,1.000000,1.000000,0,0
33,17:52:00.212,Popcorn 2 Bot,BB Gun,0.347000s,2,1,0.500000,1.000000,2.000000,0.500000,0,0
34,17:52:01.061,Popcorn 3 Bot,BB Gun,0.337000s,2,1,0.500000,1.000000,2.000000,0.500000,0,0
35,17:52:01.893,Popcorn 1 Bot,BB Gun,0.000000s,1,1,1.000000,1.000000,1.000000,1.000000,0,0
36,17:52:02.922,Popcorn 1 Bot,BB Gun,0.000000s,1,1,1.000000,1.000000,1.000000,1.000000,0,0
37,17:52:03.618,Popcorn 1 Bot,BB Gun,0.000000s,1,1,1.000000,1.000000,1.000000,1.000000,0,0
38,17:52:05.141,Popcorn 3 Bot,BB Gun,0.368000s,2,1,0.500000,1.000000,2.000000,0.500000,0,0
39,17:52:05.774,Popcorn 4 Bot,BB Gun,0.000000s,1,1,1.000000,1.000000,1.000000,1.000000,0,0
40,17:52:06.453,Popcorn 2 Bot,BB Gun,0.000000s,1,1,1.000000,1.000000,1.000000,1.000000,0,0
41,17:52:07.059,Popcorn 3 Bot,BB Gun,0.000000s,1,1,1.000000,1.000000,1.000000,1.000000,0,0
42,17:52:07.681,Popcorn 1 Bot,BB Gun,0.000000s,1,1,1.000000,1.000000,1.000000,1.000000,0,0
43,17:52:08.722,Popcorn 3 Bot,BB Gun,0.465000s,2,1,0.500000,1.000000,2.000000,0.500000,0,0
44,17:52:09.467,Popcorn 2 Bot,BB Gun,0.000000s,1,1,1.000000,1.000000,1.000000,1.000000,0,0
45,17:52:10.903,Popcorn 4 Bot,BB Gun,0.646000s,2,1,0.500000,1.000000,2.000000,0.500000,0,0
46,17:52:12.521,Popcorn 2 Bot,BB Gun,0.945000s,2,1,0.500000,1.000000,2.000000,0.500000,0,0
47,17:52:13.255,Popcorn 2 Bot,BB Gun,0.000000s,1,1,1.000000,1.000000,1.000000,1.000000,0,0
